#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0
#Host: 193.206.135.171
1569333379.90 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.545 44584960.000 650813440.000 -1.000 -1.000 0 0 25000 38888 60555 92222
1569333380.00 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.546 44945408.000 650948608.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333380.11 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.547 44990464.000 650948608.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333380.21 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.547 45035520.000 650948608.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333380.32 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.547 45064192.000 650948608.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333380.42 0 0.000 0.000 25000 0 3 0 0.000 0 9.091 0.547 45080576.000 650948608.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333380.52 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.548 45105152.000 650948608.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333380.62 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.548 45125632.000 650948608.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333380.73 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.548 45150208.000 651087872.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333380.83 0 0.000 0.000 25000 0 3 0 0.000 0 18.182 0.549 45178880.000 651087872.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333380.93 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.549 45219840.000 651087872.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333381.04 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.549 45244416.000 651087872.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333381.14 0 0.000 0.000 25000 0 3 0 0.000 0 18.182 0.550 45273088.000 651087872.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333381.24 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.550 45301760.000 651231232.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333381.35 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.551 45338624.000 651231232.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333381.45 0 0.000 0.000 25000 0 3 0 0.000 0 9.091 0.551 45367296.000 651231232.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333381.55 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.551 45391872.000 651231232.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333381.65 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.551 45432832.000 651231232.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333381.76 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.551 45432832.000 651231232.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333381.86 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.551 45436928.000 651231232.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333381.96 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.551 45436928.000 651231232.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333382.06 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.551 45436928.000 651231232.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333382.16 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.551 45436928.000 651231232.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333382.27 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.551 45436928.000 651231232.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333382.37 0 0.000 0.000 25000 0 3 0 0.000 0 9.091 0.551 45436928.000 651231232.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
1569333382.47 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.551 45436928.000 651231232.000 1569333379.900 -1.000 0 0 25000 38888 60555 92222
