#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0
1569334222.51 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.549 45223936.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334222.61 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.549 45223936.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334222.72 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.549 45223936.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334222.82 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.549 45223936.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334222.93 146141 9.943 67032.369 25000 0 3 0 0.000 250228 10.000 0.561 46063616.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334223.03 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334223.13 146141 9.943 67032.369 25000 0 3 0 0.000 250228 20.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334223.24 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334223.34 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334223.45 146141 9.943 67032.369 25000 0 3 0 0.000 250228 10.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334223.55 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334223.65 146141 9.943 67032.369 25000 0 3 0 0.000 250228 10.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334223.76 146141 9.943 67032.369 25000 0 3 0 0.000 250228 9.091 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334223.86 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334223.97 146141 9.943 67032.369 25000 0 3 0 0.000 250228 10.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334224.07 146141 9.943 67032.369 25000 0 3 0 0.000 250228 9.091 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334224.17 146141 9.943 67032.369 25000 0 3 0 0.000 250228 10.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334224.28 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334224.38 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334224.48 146141 9.943 67032.369 25000 0 3 0 0.000 250228 10.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334224.58 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334224.69 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334224.79 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334224.89 146141 9.943 67032.369 25000 0 3 0 0.000 250228 20.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334224.99 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334225.10 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334225.20 146141 9.943 67032.369 25000 0 3 0 0.000 250228 10.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334225.30 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334225.41 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334225.51 146141 9.943 67032.369 25000 0 3 0 0.000 250228 10.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
