#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0

1569329416.62 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.536 43864064.000 342040576.000 -1.000 -1.000 0 0 218750 406250 781250
1569329416.73 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.539 44208128.000 342175744.000 1569329416.624 -1.000 0 0 218750 406250 781250
1569329416.83 0 0.000 0.000 218750 0 2 0 0.000 0 9.091 0.540 44380160.000 342310912.000 1569329416.624 -1.000 0 0 218750 406250 781250
1569329416.93 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.542 44511232.000 342454272.000 1569329416.624 -1.000 0 0 218750 406250 781250
1569329417.03 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.544 44654592.000 342597632.000 1569329416.624 -1.000 0 0 218750 406250 781250
1569329417.13 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.546 44810240.000 342740992.000 1569329416.624 -1.000 0 0 218750 406250 781250
1569329417.23 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.547 44953600.000 342884352.000 1569329416.624 -1.000 0 0 218750 406250 781250
1569329417.34 0 0.000 0.000 218750 0 2 0 0.000 0 9.091 0.549 45096960.000 343027712.000 1569329416.624 -1.000 0 0 218750 406250 781250
1569329417.44 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.551 45240320.000 343171072.000 1569329416.624 -1.000 0 0 218750 406250 781250
1569329417.54 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.553 45383680.000 343314432.000 1569329416.624 -1.000 0 0 218750 406250 781250
1569329417.64 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.554 45543424.000 343457792.000 1569329416.624 -1.000 0 0 218750 406250 781250
1569329417.74 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.556 45686784.000 343601152.000 1569329416.624 -1.000 0 0 218750 406250 781250
1569329417.85 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.558 45830144.000 343744512.000 1569329416.624 -1.000 0 0 218750 406250 781250
1569329417.95 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.558 45936640.000 343744512.000 1569329416.624 -1.000 0 0 218750 406250 781250
1569329418.05 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.562 46202880.000 344064000.000 1569329416.624 -1.000 0 0 218750 406250 781250
1569329418.15 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.563 46268416.000 344207360.000 1569329416.624 -1.000 0 0 218750 406250 781250
1569329418.25 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.556 45662208.000 343666688.000 1569329416.624 -1.000 0 0 218750 406250 781250
1569329418.35 0 0.000 0.000 218750 0 2 0 0.000 0 27.273 0.547 45043712.000 342929408.000 1569329416.624 -1.000 0 0 218750 406250 781250

1569329418.46 815149 3.967 482958.185 218750 0 2 0 0.000 863296 50.000 0.578 47525888.000 343826432.000 1569329418.414 1569329418.411 0 0 218750 406250 781250
1569329418.56 815149 3.967 482958.185 218750 0 2 0 0.000 863296 0.000 0.578 47616000.000 343826432.000 1569329418.546 1569329418.411 0 0 218750 406250 781250
1569329418.66 815149 3.967 482958.185 218750 0 2 0 0.000 863296 10.000 0.578 47616000.000 343826432.000 1569329418.546 1569329418.411 0 0 218750 406250 781250
1569329418.76 815149 3.967 482958.185 218750 0 2 0 0.000 863296 20.000 0.578 47616000.000 343826432.000 1569329418.546 1569329418.411 0 0 218750 406250 781250
1569329418.86 815149 3.967 482958.185 218750 0 2 0 0.000 863296 10.000 0.578 47616000.000 343826432.000 1569329418.546 1569329418.411 0 0 218750 406250 781250
1569329418.97 815149 3.967 482958.185 218750 0 2 0 0.000 863296 10.000 0.578 47616000.000 343826432.000 1569329418.546 1569329418.411 0 0 218750 406250 781250
1569329419.07 815149 3.967 482958.185 218750 0 2 0 0.000 863296 9.091 0.578 47616000.000 343826432.000 1569329418.546 1569329418.411 0 0 218750 406250 781250
1569329419.17 815149 3.967 482958.185 218750 0 2 0 0.000 863296 10.000 0.578 47616000.000 343826432.000 1569329418.546 1569329418.411 0 0 218750 406250 781250
