#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0
#Host: 10.73.0.27
1569329059.59 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.539 44072960.000 342044672.000 -1.000 -1.000 0 0 218750 406250 781250
1569329059.69 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.543 44711936.000 342319104.000 1569329059.590 -1.000 0 0 218750 406250 781250
1569329059.79 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.547 45010944.000 342597632.000 1569329059.590 -1.000 0 0 218750 406250 781250
1569329059.89 0 0.000 0.000 218750 0 2 0 0.000 0 18.182 0.550 45301760.000 342884352.000 1569329059.590 -1.000 0 0 218750 406250 781250
1569329060.00 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.552 45334528.000 343027712.000 1569329059.590 -1.000 0 0 218750 406250 781250
1569329060.10 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.552 45477888.000 343027712.000 1569329059.590 -1.000 0 0 218750 406250 781250
1569329060.20 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.553 45477888.000 343171072.000 1569329059.590 -1.000 0 0 218750 406250 781250
1569329060.30 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.557 45797376.000 343453696.000 1569329059.590 -1.000 0 0 218750 406250 781250
1569329060.40 0 0.000 0.000 218750 0 2 0 0.000 0 30.000 0.561 46145536.000 343740416.000 1569329059.590 -1.000 0 0 218750 406250 781250
1569329060.51 0 0.000 0.000 218750 0 2 0 0.000 0 18.182 0.565 46469120.000 344170496.000 1569329059.590 -1.000 0 0 218750 406250 781250
1569329060.61 0 0.000 0.000 218750 0 2 0 0.000 0 50.000 0.551 45391872.000 342908928.000 1569329059.590 -1.000 0 0 218750 406250 781250
1569329060.71 0 0.000 0.000 218750 0 2 0 0.000 0 30.000 0.550 45314048.000 342958080.000 1569329059.590 -1.000 0 0 218750 406250 781250
1569329060.81 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.550 45326336.000 342958080.000 1569329059.590 -1.000 0 0 218750 406250 781250
1569329060.92 815149 3.967 656356.028 218750 0 2 0 0.000 863296 18.182 0.564 46362624.000 342102016.000 1569329060.907 1569329060.905 0 0 218750 406250 781250
#Host: 10.73.0.27
1569329061.03 815149 3.967 656356.028 218750 0 2 0 0.000 863296 20.000 0.564 46469120.000 342102016.000 1569329060.907 1569329060.905 0 0 218750 406250 781250
1569329061.13 815149 3.967 656356.028 218750 0 2 0 0.000 863296 18.182 0.566 46481408.000 342376448.000 1569329061.037 1569329060.905 0 0 218750 406250 781250
1569329061.23 815149 3.967 656356.028 218750 0 2 0 0.000 863296 20.000 0.570 46915584.000 342667264.000 1569329061.037 1569329060.905 0 0 218750 406250 781250
1569329061.33 815149 3.967 656356.028 218750 0 2 0 0.000 863296 10.000 0.574 47243264.000 342958080.000 1569329061.037 1569329060.905 0 0 218750 406250 781250
1569329061.43 815149 3.967 656356.028 218750 0 2 0 0.000 863296 20.000 0.578 47575040.000 343388160.000 1569329061.037 1569329060.905 0 0 218750 406250 781250
1569329061.54 815149 3.967 656356.028 218750 0 2 0 0.000 863296 27.273 0.582 47915008.000 343674880.000 1569329061.037 1569329060.905 0 0 218750 406250 781250
1569329061.64 815149 3.967 656356.028 218750 0 2 0 0.000 863296 10.000 0.584 47972352.000 343818240.000 1569329061.037 1569329060.905 0 0 218750 406250 781250
1569329061.74 815149 3.967 656356.028 218750 0 2 0 0.000 863296 20.000 0.590 48369664.000 344281088.000 1569329061.037 1569329060.905 0 0 218750 406250 781250
#Host: 10.73.0.27
1569329061.84 1576157 7.967 1086254.181 218750 0 2 0 0.000 1672260 50.000 0.584 48017408.000 342102016.000 1569329061.786 1569329061.782 261 2 218750 406250 781250
1569329061.94 1576157 7.967 1086254.181 218750 0 2 0 0.000 1672260 10.000 0.585 48156672.000 342237184.000 1569329061.918 1569329061.782 261 2 218750 406250 781250
1569329062.05 1576157 7.967 1086254.181 218750 0 2 0 0.000 1672260 30.000 0.588 48431104.000 342519808.000 1569329061.918 1569329061.782 261 2 218750 406250 781250
1569329062.15 1576157 7.967 1086254.181 218750 0 2 0 0.000 1672260 18.182 0.592 48709632.000 342798336.000 1569329061.918 1569329061.782 261 2 218750 406250 781250
1569329062.25 1576157 7.967 1086254.181 218750 0 2 0 0.000 1672260 20.000 0.596 49041408.000 343085056.000 1569329061.918 1569329061.782 261 2 218750 406250 781250
1569329062.35 1576157 7.967 1086254.181 218750 0 2 0 0.000 1672260 10.000 0.600 49377280.000 343515136.000 1569329061.918 1569329061.782 261 2 218750 406250 781250
1569329062.45 1576157 7.967 1086254.181 218750 0 2 0 0.000 1672260 18.182 0.604 49704960.000 343785472.000 1569329061.918 1569329061.782 261 2 218750 406250 781250
1569329062.56 1576157 7.967 1086254.181 218750 0 2 0 0.000 1672260 20.000 0.608 50040832.000 344092672.000 1569329061.918 1569329061.782 261 2 218750 406250 781250
1569329062.67 2322883 11.983 1087118.084 218750 0 2 0 0.000 2467500 45.455 0.605 49774592.000 342102016.000 1569329062.653 1569329062.650 327 0 218750 406250 781250
#Host: 10.73.0.27
1569329062.77 2322883 11.983 1087118.084 218750 0 2 1 3.246 2467500 20.000 0.605 49811456.000 342102016.000 1569329062.653 1569329062.650 327 0 218750 406250 781250
1569329062.87 2322883 11.983 1087118.084 218750 0 2 1 3.246 2467500 9.091 0.607 49811456.000 342380544.000 1569329062.785 1569329062.650 327 0 218750 406250 781250
1569329062.98 2322883 11.983 1087118.084 218750 0 2 1 3.246 2467500 10.000 0.611 50249728.000 342659072.000 1569329062.785 1569329062.650 327 0 218750 406250 781250
1569329063.08 2322883 11.983 1087118.084 218750 0 2 1 3.246 2467500 20.000 0.615 50581504.000 342937600.000 1569329062.785 1569329062.650 327 0 218750 406250 781250
1569329063.18 2322883 11.983 1087118.084 218750 0 2 1 3.246 2467500 30.000 0.619 50909184.000 343367680.000 1569329062.785 1569329062.650 327 0 218750 406250 781250
1569329063.28 2322883 11.983 1087118.084 218750 0 2 1 3.246 2467500 20.000 0.622 51236864.000 343646208.000 1569329062.785 1569329062.650 327 0 218750 406250 781250
1569329063.38 2322883 11.983 1087118.084 218750 0 2 1 3.246 2467500 10.000 0.627 51552256.000 343965696.000 1569329062.785 1569329062.650 327 0 218750 406250 781250
1569329063.49 2290274 11.933 1087118.084 218750 0 2 1 3.246 2467500 27.273 0.631 51900416.000 344387584.000 1569329062.785 1569329062.650 327 0 218750 406250 781250
#Host: 10.73.0.27
1569329063.59 3039998 15.817 1086960.394 218750 0 2 1 3.246 3268192 50.000 0.652 53583872.000 344387584.000 1569329063.523 1569329063.521 327 0 218750 406250 781250
1569329063.69 3033521 15.717 1086960.394 218750 0 2 1 3.246 3268192 10.000 0.652 53702656.000 344387584.000 1569329063.654 1569329063.521 327 0 218750 406250 781250
1569329063.79 3022167 15.600 1086960.394 218750 0 2 1 3.246 3268192 20.000 0.652 53702656.000 344387584.000 1569329063.654 1569329063.521 327 0 218750 406250 781250
1569329063.89 3013181 15.500 1086960.394 218750 0 2 1 3.246 3268192 10.000 0.652 53702656.000 344387584.000 1569329063.654 1569329063.521 327 0 218750 406250 781250
1569329064.00 2965433 15.367 1086960.394 218750 0 2 1 3.246 3268192 18.182 0.652 53702656.000 344387584.000 1569329063.654 1569329063.521 327 0 218750 406250 781250
1569329064.10 2959258 15.283 1086960.394 218750 0 2 1 3.246 3268192 20.000 0.652 53702656.000 344387584.000 1569329063.654 1569329063.521 327 0 218750 406250 781250
1569329064.20 2947805 15.183 1086960.394 218750 0 2 1 3.246 3268192 20.000 0.652 53702656.000 344387584.000 1569329063.654 1569329063.521 327 0 218750 406250 781250
1569329064.30 2937429 15.100 1086960.394 218750 0 2 1 3.246 3268192 20.000 0.652 53702656.000 344387584.000 1569329063.654 1569329063.521 327 0 218750 406250 781250
1569329064.41 3681944 19.000 1086997.074 218750 0 2 1 3.246 4069448 36.364 0.668 55054336.000 344387584.000 1569329064.393 1569329064.391 327 0 218750 406250 781250
#Host: 10.73.0.27
1569329064.51 3627566 18.867 1086997.074 218750 0 2 1 3.246 4069448 10.000 0.668 55058432.000 344387584.000 1569329064.393 1569329064.391 327 0 218750 406250 781250
1569329064.61 3614501 18.800 1086997.074 218750 0 2 1 3.246 4069448 20.000 0.668 55058432.000 344387584.000 1569329064.522 1569329064.391 327 0 218750 406250 781250
1569329064.71 3598514 18.700 1086997.074 218750 0 2 1 3.246 4069448 9.091 0.668 55058432.000 344387584.000 1569329064.522 1569329064.391 327 0 218750 406250 781250
1569329064.82 3582851 18.583 1086997.074 218750 0 2 1 3.246 4069448 20.000 0.668 55058432.000 344387584.000 1569329064.522 1569329064.391 327 0 218750 406250 781250
1569329064.92 3570646 18.500 1086997.074 218750 0 2 1 3.246 4069448 30.000 0.668 55058432.000 344387584.000 1569329064.522 1569329064.391 327 0 218750 406250 781250
