#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0
#Host: 10.73.0.27
1569314889.37 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.538 43966464.000 342044672.000 -1.000 -1.000 0 0 218750 406250 781250
1569314889.47 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.541 44363776.000 342179840.000 1569314889.366 -1.000 0 0 218750 406250 781250
1569314889.57 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.543 44556288.000 342462464.000 1569314889.366 -1.000 0 0 218750 406250 781250
1569314889.67 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.545 44736512.000 342605824.000 1569314889.366 -1.000 0 0 218750 406250 781250
1569314889.77 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.547 44920832.000 342749184.000 1569314889.366 -1.000 0 0 218750 406250 781250
1569314889.87 0 0.000 0.000 218750 0 2 0 0.000 0 9.091 0.548 45101056.000 342749184.000 1569314889.366 -1.000 0 0 218750 406250 781250
1569314889.98 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.549 45117440.000 342892544.000 1569314889.366 -1.000 0 0 218750 406250 781250
1569314890.08 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.551 45264896.000 343027712.000 1569314889.366 -1.000 0 0 218750 406250 781250
1569314890.18 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.553 45408256.000 343171072.000 1569314889.366 -1.000 0 0 218750 406250 781250
1569314890.28 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.555 45551616.000 343314432.000 1569314889.366 -1.000 0 0 218750 406250 781250
1569314890.38 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.557 45711360.000 343457792.000 1569314889.366 -1.000 0 0 218750 406250 781250
1569314890.48 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.558 45854720.000 343601152.000 1569314889.366 -1.000 0 0 218750 406250 781250
1569314890.59 0 0.000 0.000 218750 0 2 0 0.000 0 18.182 0.560 45998080.000 343744512.000 1569314889.366 -1.000 0 0 218750 406250 781250
1569314890.69 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.562 46141440.000 343887872.000 1569314889.366 -1.000 0 0 218750 406250 781250
1569314890.79 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.564 46284800.000 344174592.000 1569314889.366 -1.000 0 0 218750 406250 781250
1569314890.89 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.565 46440448.000 344317952.000 1569314889.366 -1.000 0 0 218750 406250 781250
1569314890.99 0 0.000 0.000 218750 0 2 0 0.000 0 30.000 0.550 45285376.000 342888448.000 1569314889.366 -1.000 0 0 218750 406250 781250
1569314891.10 0 0.000 0.000 218750 0 2 0 0.000 0 27.273 0.549 45207552.000 342937600.000 1569314889.366 -1.000 0 0 218750 406250 781250
#Host: 10.73.0.27
1569314891.20 815149 3.967 484377.906 218750 0 2 0 0.000 863296 60.000 0.581 47747072.000 343830528.000 1569314891.152 1569314891.148 0 0 218750 406250 781250
1569314891.30 815149 3.967 484377.906 218750 0 2 0 0.000 863296 0.000 0.581 47841280.000 343830528.000 1569314891.282 1569314891.148 0 0 218750 406250 781250
1569314891.40 815149 3.967 484377.906 218750 0 2 0 0.000 863296 10.000 0.581 47841280.000 343830528.000 1569314891.282 1569314891.148 0 0 218750 406250 781250
1569314891.50 815149 3.967 484377.906 218750 0 2 0 0.000 863296 10.000 0.581 47841280.000 343830528.000 1569314891.282 1569314891.148 0 0 218750 406250 781250
1569314891.61 815149 3.967 484377.906 218750 0 2 0 0.000 863296 9.091 0.581 47841280.000 343830528.000 1569314891.282 1569314891.148 0 0 218750 406250 781250
1569314891.71 815149 3.967 484377.906 218750 0 2 0 0.000 863296 10.000 0.581 47841280.000 343830528.000 1569314891.282 1569314891.148 0 0 218750 406250 781250
1569314891.81 815149 3.967 484377.906 218750 0 2 0 0.000 863296 10.000 0.581 47841280.000 343830528.000 1569314891.282 1569314891.148 0 0 218750 406250 781250
1569314891.91 815149 3.967 484377.906 218750 0 2 0 0.000 863296 10.000 0.581 47841280.000 343830528.000 1569314891.282 1569314891.148 0 0 218750 406250 781250
1569314892.01 815149 3.967 484377.906 218750 0 2 0 0.000 863296 20.000 0.581 47841280.000 343830528.000 1569314891.282 1569314891.148 0 0 218750 406250 781250
1569314892.12 815149 3.967 484377.906 218750 0 2 0 0.000 863296 9.091 0.581 47841280.000 343830528.000 1569314891.282 1569314891.148 0 0 218750 406250 781250
1569314892.22 815149 3.967 484377.906 218750 0 2 0 0.000 863296 10.000 0.581 47841280.000 343830528.000 1569314891.282 1569314891.148 0 0 218750 406250 781250
1569314892.32 815149 3.967 484377.906 218750 0 2 0 0.000 863296 10.000 0.581 47841280.000 343830528.000 1569314891.282 1569314891.148 0 0 218750 406250 781250
1569314892.42 815149 3.967 484377.906 218750 0 2 0 0.000 863296 30.000 0.581 47841280.000 343830528.000 1569314891.282 1569314891.148 0 0 218750 406250 781250
1569314892.52 815149 3.967 484377.906 218750 0 2 0 0.000 863296 10.000 0.581 47841280.000 343830528.000 1569314891.282 1569314891.148 0 0 218750 406250 781250
