#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0

1569334756.23 146141 9.943 69813.467 25000 0 3 0 0.000 250228 0.000 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334756.33 146141 9.943 69813.467 25000 0 3 0 0.000 250228 18.182 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334756.43 146141 9.943 69813.467 25000 0 3 0 0.000 250228 10.000 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334756.54 146141 9.943 69813.467 25000 0 3 0 0.000 250228 0.000 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334756.64 146141 9.943 69813.467 25000 0 3 0 0.000 250228 10.000 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334756.74 146141 9.943 69813.467 25000 0 3 0 0.000 250228 0.000 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334756.85 146141 9.943 69813.467 25000 0 3 0 0.000 250228 10.000 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334756.95 146141 9.943 69813.467 25000 0 3 0 0.000 250228 9.091 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334757.05 146141 9.943 69813.467 25000 0 3 0 0.000 250228 0.000 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334757.15 146141 9.943 69813.467 25000 0 3 0 0.000 250228 9.091 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
