#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0

1569328773.84 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.537 44023808.000 342044672.000 -1.000 -1.000 0 0 218750 406250 781250
1569328773.94 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.542 44560384.000 342470656.000 1569328773.839 -1.000 0 0 218750 406250 781250
1569328774.04 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.547 44933120.000 342757376.000 1569328773.839 -1.000 0 0 218750 406250 781250
1569328774.14 0 0.000 0.000 218750 0 2 0 0.000 0 30.000 0.551 45297664.000 343187456.000 1569328773.839 -1.000 0 0 218750 406250 781250
1569328774.25 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.555 45662208.000 343465984.000 1569328773.839 -1.000 0 0 218750 406250 781250
1569328774.35 0 0.000 0.000 218750 0 2 0 0.000 0 9.091 0.558 45764608.000 343752704.000 1569328773.839 -1.000 0 0 218750 406250 781250
1569328774.45 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.564 46280704.000 344244224.000 1569328773.839 -1.000 0 0 218750 406250 781250
1569328774.55 0 0.000 0.000 218750 0 2 0 0.000 0 60.000 0.558 45957120.000 343814144.000 1569328773.839 -1.000 0 0 218750 406250 781250

1569328774.65 815149 3.967 1205627.799 218750 0 2 0 0.000 863296 50.000 0.561 46125056.000 342102016.000 1569328774.560 1569328774.555 0 0 218750 406250 781250
1569328774.75 815149 3.967 1205627.799 218750 0 2 0 0.000 863296 9.091 0.562 46252032.000 342241280.000 1569328774.695 1569328774.555 0 0 218750 406250 781250
1569328774.86 815149 3.967 1205627.799 218750 0 2 0 0.000 863296 10.000 0.567 46612480.000 342667264.000 1569328774.695 1569328774.555 0 0 218750 406250 781250
1569328774.96 815149 3.967 1205627.799 218750 0 2 0 0.000 863296 30.000 0.571 46977024.000 342958080.000 1569328774.695 1569328774.555 0 0 218750 406250 781250
1569328775.06 815149 3.967 1205627.799 218750 0 2 0 0.000 863296 20.000 0.576 47345664.000 343388160.000 1569328774.695 1569328774.555 0 0 218750 406250 781250
1569328775.16 815149 3.967 1205627.799 218750 0 2 0 0.000 863296 10.000 0.579 47443968.000 343531520.000 1569328774.695 1569328774.555 0 0 218750 406250 781250
1569328775.26 815149 3.967 1205627.799 218750 0 2 0 0.000 863296 20.000 0.585 47943680.000 344141824.000 1569328774.695 1569328774.555 0 0 218750 406250 781250
1569328775.37 815149 3.967 1205627.799 218750 0 2 0 0.000 863296 50.000 0.589 48439296.000 344428544.000 1569328774.695 1569328774.555 0 0 218750 406250 781250

1569328775.47 1576157 7.967 1205096.128 406250 1 2 0 0.000 1672260 36.364 0.582 47927296.000 342102016.000 1569328775.369 1569328775.366 130 1 218750 406250 781250
1569328775.57 1576157 7.967 1205096.128 406250 1 2 0 0.000 1672260 10.000 0.583 47927296.000 342237184.000 1569328775.505 1569328775.366 130 1 218750 406250 781250
1569328775.67 1576157 7.967 1205096.128 406250 1 2 0 0.000 1672260 20.000 0.588 48300032.000 342659072.000 1569328775.505 1569328775.366 130 1 218750 406250 781250
1569328775.77 1576157 7.967 1205096.128 406250 1 2 0 0.000 1672260 18.182 0.592 48672768.000 342945792.000 1569328775.505 1569328775.366 130 1 218750 406250 781250
1569328775.88 1576157 7.967 1205096.128 406250 1 2 0 0.000 1672260 20.000 0.596 49037312.000 343375872.000 1569328775.505 1569328775.366 130 1 218750 406250 781250
1569328775.98 1576157 7.967 1205096.128 406250 1 2 0 0.000 1672260 30.000 0.601 49401856.000 343805952.000 1569328775.505 1569328775.366 130 1 218750 406250 781250
1569328776.08 1576157 7.967 1205096.128 406250 1 2 0 0.000 1672260 10.000 0.605 49766400.000 344162304.000 1569328775.505 1569328775.366 130 1 218750 406250 781250
1569328776.18 1576157 7.967 1205096.128 406250 1 2 0 0.000 1672260 30.000 0.610 50135040.000 344449024.000 1569328775.505 1569328775.366 130 1 218750 406250 781250
1569328776.28 1576157 7.967 1205096.128 406250 1 2 0 0.000 1672260 60.000 0.593 48865280.000 343040000.000 1569328775.505 1569328775.366 130 1 218750 406250 781250
1569328776.39 1576157 7.967 1205096.128 406250 1 2 0 0.000 1672260 45.455 0.606 49672192.000 344203264.000 1569328775.505 1569328775.366 130 1 218750 406250 781250
1569328776.49 1576157 7.967 1205096.128 406250 1 2 0 0.000 1672260 80.000 0.596 49111040.000 343285760.000 1569328775.505 1569328775.366 130 1 218750 406250 781250
1569328776.59 1576157 7.967 1205096.128 406250 1 2 0 0.000 1672260 70.000 0.598 49233920.000 343408640.000 1569328775.505 1569328775.366 130 1 218750 406250 781250
1569328776.69 1576157 7.967 1205096.128 406250 1 2 0 0.000 1672260 80.000 0.615 50573312.000 344952832.000 1569328775.505 1569328775.366 130 1 218750 406250 781250
1569328776.79 1576157 7.967 1205096.128 406250 1 2 0 0.000 1672260 45.455 0.599 49348608.000 343646208.000 1569328775.505 1569328775.366 130 1 218750 406250 781250

1569328776.90 3077474 11.983 1201017.601 406250 1 2 1 3.137 3237360 50.000 0.610 50282496.000 342102016.000 1569328776.811 1569328776.809 327 2 218750 406250 781250
1569328777.00 3077474 11.983 1201017.601 406250 1 2 1 3.137 3237360 10.000 0.611 50282496.000 342241280.000 1569328776.940 1569328776.809 327 2 218750 406250 781250
1569328777.10 3077474 11.983 1201017.601 406250 1 2 1 3.137 3237360 10.000 0.616 50642944.000 342667264.000 1569328776.940 1569328776.809 327 2 218750 406250 781250
1569328777.20 3077474 11.983 1201017.601 406250 1 2 1 3.137 3237360 30.000 0.620 51007488.000 342953984.000 1569328776.940 1569328776.809 327 2 218750 406250 781250
