#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0
#Host: 10.73.0.27
1569315686.03 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.537 43954176.000 342048768.000 -1.000 -1.000 0 0 218750 406250 781250
1569315686.13 0 0.000 0.000 218750 0 2 0 0.000 0 18.182 0.540 44294144.000 342183936.000 1569315686.026 -1.000 0 0 218750 406250 781250
1569315686.23 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.542 44470272.000 342466560.000 1569315686.026 -1.000 0 0 218750 406250 781250
1569315686.33 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.544 44654592.000 342609920.000 1569315686.026 -1.000 0 0 218750 406250 781250
1569315686.43 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.546 44826624.000 342753280.000 1569315686.026 -1.000 0 0 218750 406250 781250
1569315686.54 0 0.000 0.000 218750 0 2 0 0.000 0 9.091 0.548 45006848.000 342896640.000 1569315686.026 -1.000 0 0 218750 406250 781250
1569315686.64 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.551 45178880.000 343040000.000 1569315686.026 -1.000 0 0 218750 406250 781250
1569315686.74 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.553 45359104.000 343326720.000 1569315686.026 -1.000 0 0 218750 406250 781250
1569315686.84 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.555 45531136.000 343470080.000 1569315686.026 -1.000 0 0 218750 406250 781250
1569315686.94 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.557 45711360.000 343613440.000 1569315686.026 -1.000 0 0 218750 406250 781250
1569315687.05 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.559 45883392.000 343756800.000 1569315686.026 -1.000 0 0 218750 406250 781250
